"Trips","Income","Age","Edu","Marriage","Gender","Year"
0,6,5,3,1,1,2016
1,5,7,3,2,2,2016
1,2,8,3,4,2,2016
0,3,7,2,4,2,2016
3,5,6,3,2,1,2016
0,5,5,3,2,1,2016
1,7,5,5,1,1,2016
1,7,4,5,1,2,2016
12,10,8,4,2,1,2016
0,9,5,4,2,2,2016
1,2,7,3,2,2,2016
1,7,6,3,2,2,2016
0,2,6,2,3,1,2016
3,2,9,3,2,1,2016
1,5,6,3,1,1,2016
5,1,2,3,1,2,2016
0,9,4,4,2,1,2016
0,3,8,2,4,1,2016
1,1,1,2,1,1,2016
0,5,5,5,2,2,2016
0,6,5,3,2,1,2016
0,1,8,3,2,2,2016
0,8,7,3,2,1,2016
0,4,9,1,3,2,2016
0,6,5,5,2,2,2016
0,1,7,3,2,2,2016
15,5,3,5,1,1,2016
0,6,6,3,3,1,2016
10,5,4,3,2,2,2016
2,6,4,5,1,1,2016
1,4,9,1,2,2,2016
5,9,6,3,2,1,2016
12,5,5,3,2,1,2016
2,1,8,3,2,2,2016
0,2,10,2,2,1,2016
0,2,10,1,2,1,2016
0,6,8,3,2,1,2016
0,4,9,2,2,1,2016
0,8,5,5,1,2,2016
3,6,4,6,1,1,2016
1,8,7,1,2,1,2016
6,5,3,5,1,1,2016
0,5,7,4,2,2,2016
0,4,5,3,2,2,2016
1,6,6,5,1,2,2016
1,2,4,3,2,2,2016
1,2,4,5,1,1,2016
5,2,1,2,1,1,2016
1,5,8,1,2,2,2016
0,2,9,1,2,2,2016
1,1,6,2,2,2,2016
0,4,10,4,2,1,2016
2,9,6,4,3,1,2016
0,8,7,5,2,1,2016
0,6,6,3,2,1,2016
0,5,7,3,2,2,2016
1,2,3,5,1,2,2016
2,1,7,3,2,2,2016
0,6,7,3,2,2,2016
5,5,5,3,2,2,2016
8,1,9,1,2,2,2016
1,5,7,1,2,2,2016
1,2,5,5,1,2,2016
6,1,9,1,2,2,2016
0,5,7,5,2,2,2016
1,6,4,5,1,2,2016
0,2,7,2,2,1,2016
1,8,6,4,2,1,2016
3,9,6,6,2,2,2016
3,5,7,3,1,2,2016
0,3,6,3,1,1,2016
1,8,5,5,2,1,2016
4,5,9,2,2,1,2016
0,1,7,2,2,2,2016
0,2,9,1,2,1,2016
0,2,9,1,2,2,2016
0,3,10,1,3,2,2016
0,5,9,6,2,1,2016
1,7,4,5,1,1,2016
3,1,2,3,1,2,2016
1,1,8,3,2,1,2016
2,4,4,3,2,2,2016
0,6,7,4,3,1,2016
1,5,6,3,2,1,2016
0,1,7,3,1,1,2016
0,8,10,3,2,1,2016
2,6,5,4,2,1,2016
3,2,2,5,1,2,2016
3,8,7,3,2,1,2016
0,1,9,1,2,2,2016
0,3,9,1,2,1,2016
0,6,5,5,2,2,2016
1,6,7,3,2,2,2016
1,3,7,2,2,2,2016
0,1,3,5,1,1,2016
2,6,4,5,1,1,2016
3,3,8,3,2,1,2016
2,4,7,3,2,1,2016
6,7,8,5,1,1,2016
1,1,7,3,2,1,2016
0,1,10,1,4,2,2016
1,5,9,5,2,1,2016
12,9,7,4,2,1,2016
3,8,7,3,2,1,2016
1,5,5,4,1,2,2016
1,6,5,5,1,2,2016
0,5,5,5,1,1,2016
5,5,9,1,2,2,2016
0,3,7,1,4,1,2016
0,2,10,1,2,2,2016
20,4,10,4,2,1,2016
0,1,7,3,2,2,2016
0,1,8,1,2,1,2016
3,2,9,1,4,2,2016
0,2,10,1,2,1,2016
0,2,10,2,2,2,2016
5,1,6,3,2,2,2016
1,5,4,3,2,2,2016
2,10,7,5,2,2,2016
